Month,Quantity
2009-1,2108298
2009-2,1426647
2009-3,1970612
2009-4,2451605
2009-5,2305311
2009-6,575458
2009-7,202669
2009-8,1166105
2009-9,4036535
2009-10,4181086
2009-11,3282707
2009-12,3036138
2010-1,2579813
2010-2,2884799
2010-3,4100080
2010-4,4838552
2010-5,3813614
2010-6,2659959
2010-7,1048694
2010-8,825000
2010-9,4716444
2010-10,5192052
2010-11,3648908
2010-12,2793423
2011-1,901884
2011-2,47885
2011-3,352754
2011-4,9572906
2011-5,11540187
2011-6,3199818
2011-7,1745861
2011-8,2503775
2011-9,6049117
2011-10,8495552
2011-11,2318184
2011-12,2972201
2012-1,700093
2012-2,3146993
2012-3,4892732
2012-4,5237481
2012-5,3935191
2012-6,3583262
2012-7,2148942
2012-8,3348146
2012-9,5555611
2012-10,6901599
2012-11,4785650
2012-12,1732249
2013-1,3158794
2013-2,3519639
2013-3,6127398
2013-4,4199494
2013-5,6629098
2013-6,5112544
2013-7,3788771
2013-8,4663924
2013-9,4670343
2013-10,8754051
2013-11,5370951
2013-12,3788823
2014-1,3273620
2014-2,3283704
2014-3,6141147
2014-4,7095766
2014-5,5829639
2014-6,1270878
2014-7,519600
2014-8,3224623
2014-9,4851026
2014-10,6968774
2014-11,4482309
2014-12,4124963
2015-1,3892756
2015-2,2294779
2015-3,3580991
2015-4,2653750
2015-5,1583660
2015-6,7185736
2015-7,3480586
2015-8,4217988
2015-9,4926918
2015-10,6165976
2015-11,4968462
2015-12,4423321
2016-1,4863866
2016-2,1967218
2016-3,7213002
2016-4,9440115
2016-5,7447037
2016-6,4877821
2016-7,2572376
2016-8,6548561
2016-9,8301875
2016-10,11995353
2016-11,5075770
2016-12,7197120
2017-1,5930915
2017-2,6366892
2017-3,6382936
2017-4,10021187
2017-5,6915405
2017-6,6080134
2017-7,4259340
2017-8,6968616
2017-9,9711314
2017-10,9162049
2017-11,5651679
2017-12,8094736
2018-1,0
2018-2,3420505
2018-3,8560654
2018-4,12068228
2018-5,12063924
2018-6,6399147
2018-7,5066969
2018-8,6415609
2018-9,7921342
2018-10,12126620
2018-11,8326415
2018-12,4018754
