Month,Quantity
2009-1,512594
2009-2,436396
2009-3,365149
2009-4,720778
2009-5,807178
2009-6,900568
2009-7,1337682
2009-8,987313
2009-9,861445
2009-10,828735
2009-11,818794
2009-12,638640
2010-1,349295
2010-2,280136
2010-3,325157
2010-4,434502
2010-5,723325
2010-6,1160661
2010-7,1250236
2010-8,1367597
2010-9,2015335
2010-10,557748
2010-11,984342
2010-12,660023
2011-1,518984
2011-2,313182
2011-3,450624
2011-4,562585
2011-5,734113
2011-6,1099469
2011-7,864502
2011-8,886984
2011-9,1072831
2011-10,628631
2011-11,1015028
2011-12,707462
2012-1,489832
2012-2,449860
2012-3,263093
2012-4,674061
2012-5,1084660
2012-6,950185
2012-7,1280530
2012-8,1202185
2012-9,960377
2012-10,647842
2012-11,1069825
2012-12,1208825
2013-1,822388
2013-2,285810
2013-3,206880
2013-4,922777
2013-5,722437
2013-6,1290824
2013-7,1590648
2013-8,1128758
2013-9,1252471
2013-10,848695
2013-11,833137
2013-12,1392957
2014-1,1102421
2014-2,266726
2014-3,266253
2014-4,704262
2014-5,966488
2014-6,991587
2014-7,1307276
2014-8,1047500
2014-9,1450533
2014-10,734860
2014-11,1582201
2014-12,1064920
2015-1,675410
2015-2,577613
2015-3,346247
2015-4,849418
2015-5,970126
2015-6,804048
2015-7,1017122
2015-8,1114337
2015-9,850857
2015-10,1420539
2015-11,1496515
2015-12,2063363
2016-1,1490597
2016-2,588053
2016-3,122536
2016-4,789597
2016-5,911218
2016-6,1056138
2016-7,1768828
2016-8,1905722
2016-9,1445861
2016-10,1030222
2016-11,995003
2016-12,1243254
2017-1,1097981
2017-2,377408
2017-3,145226
2017-4,671469
2017-5,995723
2017-6,950133
2017-7,794155
2017-8,1490590
2017-9,1358726
2017-10,1015449
2017-11,3027912
2017-12,894781
2018-1,0
2018-2,588310
2018-3,245992
2018-4,942909
2018-5,1207583
2018-6,1316289
2018-7,1763899
2018-8,3410341
2018-9,2027493
2018-10,1045745
2018-11,1747227
2018-12,1266764
