Month,Quantity(kg)
2009-01,3181024
2009-02,3590309
2009-03,5956237
2009-04,4589251
2009-05,2826747
2009-06,2826747
2009-07,2927999
2009-08,3091754
2009-09,3746800
2009-10,3296148
2009-11,2992712
2009-12,2553328
2010-01,2221280
2010-02,1740606
2010-03,759845
2010-04,29862
2010-05,10800
2010-06,10800
2010-07,67108
2010-08,31452
2010-09,9301
2010-10,16152
2010-11,6234
2010-12,382708
2011-01,2634732
2011-02,4171329
2011-03,3040931
2011-04,4149392
2011-05,4074441
2011-06,4074441
2011-07,7372240
2011-08,4645755
2011-09,4847209
2011-10,3202682
2011-11,3480208
2011-12,4504100
2012-01,4604004
2012-02,5336847
2012-03,5791463
2012-04,3959352
2012-05,4795989
2012-06,4795989
2012-07,4418925
2012-08,4221129
2012-09,4715649
2012-10,3815031
2012-11,2757665
2012-12,4573748
2013-01,2195343
2013-02,6240621
2013-03,6728195
2013-04,6567969
2013-05,6647151
2013-06,6647151
2013-07,4786287
2013-08,5339966
2013-09,4843294
2013-10,4978226
2013-11,4268266
2013-12,4819588
2014-01,3733264
2014-02,6574176
2014-03,7563847
2014-04,6315914
2014-05,10529679
2014-06,10529679
2014-07,5576287
2014-08,5764789
2014-09,6841030
2014-10,212723
2014-11,3789165
2014-12,3952505
2015-01,4403879
2015-02,7745861
2015-03,7126916
2015-04,7550705
2015-05,6604390
2015-06,6604390
2015-07,6262937
2015-08,4031547
2015-09,1514672
2015-10,0
2015-11,28704
2015-12,2564562
2016-01,2912972
2016-02,4061912
2016-03,6255307
2016-04,6005696
2016-05,5725148
2016-06,5725148
2016-07,5368780
2016-08,4674208
2016-09,7742336
2016-10,6303981
2016-11,4504512
2016-12,4393706
2017-01,5492397
2017-02,7611406
2017-03,8815725
2017-04,5893613
2017-05,6261647
2017-06,6261647
2017-07,2744423
2017-08,4317932
2017-09,6967799
2017-10,4830826
2017-11,5589292
2017-12,1281792
2018-01,3944104
2018-02,5853173
2018-03,8346265
2018-04,6506547
2018-05,7097640
2018-06,7097640
2018-07,6770615
2018-08,6655486
2018-09,5672699
2018-10,4235606
2018-11,3433520
2018-12,4573170
