Month,Quantity
2009-01-01,0
2009-02-01,0
2009-03-01,0
2009-04-01,0
2009-05-01,0
2009-06-01,0
2009-07-01,0
2009-08-01,0
2009-09-01,0
2009-10-01,0
2009-11-01,0
2009-12-01,0
2010-01-01,0
2010-02-01,0
2010-03-01,0
2010-04-01,0
2010-05-01,0
2010-06-01,0
2010-07-01,0
2010-08-01,0
2010-09-01,0
2010-10-01,0
2010-11-01,0
2010-12-01,0
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,0
2012-11-01,0
2012-12-01,0
2013-01-01,0
2013-02-01,0
2013-03-01,0
2013-04-01,0
2013-05-01,0
2013-06-01,0
2013-07-01,151345
2013-08-01,278757
2013-09-01,342140
2013-10-01,468759
2013-11-01,712153
2013-12-01,733930
2014-01-01,496021
2014-02-01,347650
2014-03-01,554990
2014-04-01,403650
2014-05-01,117900
2014-06-01,198995
2014-07-01,176000
2014-08-01,84450
2014-09-01,146390
2014-10-01,191500
2014-11-01,363500
2014-12-01,421140
2015-01-01,295999
2015-02-01,199465
2015-03-01,226300
2015-04-01,306610
2015-05-01,385860
2015-06-01,134110
2015-07-01,209765
2015-08-01,219955
2015-09-01,158998
2015-10-01,279200
2015-11-01,398100
2015-12-01,414850
2016-01-01,292380
2016-02-01,285710
2016-03-01,296240
2016-04-01,364455
2016-05-01,272225
2016-06-01,254620
2016-07-01,262750
2016-08-01,223527
2016-09-01,128200
2016-10-01,155450
2016-11-01,173290
2016-12-01,309460
2017-01-01,483060
2017-02-01,383015
2017-03-01,375515
2017-04-01,449255
2017-05-01,373125
2017-06-01,211125
2017-07-01,167347
2017-08-01,316830
2017-09-01,343750
2017-10-01,228280
2017-11-01,785070
2017-12-01,568395
2018-01-01,0
2018-02-01,393275
2018-03-01,275089
2018-04-01,416775
2018-05-01,423315
2018-06-01,396145
2018-07-01,282600
2018-08-01,464065
2018-09-01,254050
2018-10-01,180572
2018-11-01,293000
2018-12-01,322075
