Month,Quantity
2009-1,1884840
2009-2,1062719
2009-3,1886981
2009-4,4708045
2009-5,1951193
2009-6,2638844
2009-7,5201913
2009-8,6288031
2009-9,7778690
2009-10,6282732
2009-11,5054747
2009-12,5477555
2010-1,6685124
2010-2,4318700
2010-3,8876354
2010-4,8260815
2010-5,7602093
2010-6,7928432
2010-7,10270890
2010-8,9816051
2010-9,13962782
2010-10,15629470
2010-11,6751320
2010-12,6536658
2011-1,8784538
2011-2,4749425
2011-3,2442478
2011-4,1007130
2011-5,2186650
2011-6,4039217
2011-7,8074434
2011-8,14205627
2011-9,20175168
2011-10,24109151
2011-11,20997916
2011-12,18002598
2012-1,10572531
2012-2,9794706
2012-3,10305146
2012-4,9942631
2012-5,5772175
2012-6,8690854
2012-7,12279301
2012-8,16598809
2012-9,23965518
2012-10,24945056
2012-11,23879638
2012-12,22347837
2013-1,19487522
2013-2,15053818
2013-3,11015182
2013-4,13182274
2013-5,12367313
2013-6,28609518
2013-7,20185622
2013-8,21494264
2013-9,28175924
2013-10,33368611
2013-11,17815909
2013-12,15156474
2014-1,17141774
2014-2,12331358
2014-3,13051056
2014-4,13317476
2014-5,10970348
2014-6,13565126
2014-7,17633983
2014-8,21694076
2014-9,28200754
2014-10,26844852
2014-11,26211121
2014-12,17735094
2015-1,15254347
2015-2,17591675
2015-3,17746977
2015-4,21874939
2015-5,15379676
2015-6,13984653
2015-7,21119513
2015-8,21453382
2015-9,20045599
2015-10,18533763
2015-11,12882689
2015-12,10812234
2016-1,15274122
2016-2,9777825
2016-3,15320246
2016-4,16174992
2016-5,19405031
2016-6,33471914
2016-7,19365511
2016-8,23758308
2016-9,24841696
2016-10,31413159
2016-11,29793468
2016-12,25874951
2017-1,20903866
2017-2,7373131
2017-3,9389987
2017-4,11133667
2017-5,9065570
2017-6,34184283
2017-7,17442359
2017-8,101135298
2017-9,23363643
2017-10,25098960
2017-11,30440669
2017-12,26237352
2018-1,0
2018-2,15597289
2018-3,12136553
2018-4,20393393
2018-5,14321177
2018-6,13635960
2018-7,17095402
2018-8,22540315
2018-9,30485128
2018-10,39043471
2018-11,30249810
2018-12,33334775
