Month,Quantity
2018-03-01,218458.01858726412
2018-04-01,236084.48858696708
2018-05-01,226265.32693237186
2018-06-01,194858.6767437601
2018-07-01,177949.87496403576
2018-08-01,197254.80209766774
2018-09-01,353985.6182091048
2018-10-01,321708.42716405244
2018-11-01,231095.28802359433
2018-12-01,541316.0072909284
2019-01-01,406122.2690990666
2019-02-01,310148.60007659503
2019-03-01,268332.6450534968
2019-04-01,300933.25442771905
2019-05-01,307315.2438315269
2019-06-01,265887.43266850023
2019-07-01,242191.83301354322
2019-08-01,301768.0785479069
2019-09-01,293415.7008481795
2019-10-01,370936.31463008723
2019-11-01,294914.1161300567
2019-12-01,271148.20530261536
2020-01-01,434565.9216673077
2020-02-01,327936.52593720355
2020-03-01,253524.09509798783
2020-04-01,271605.5117191959
2020-05-01,358166.13751126296
2020-06-01,311725.00457032956
2020-07-01,256833.68356954516
2020-08-01,281875.5616949555
2020-09-01,385751.93077941844
2020-10-01,304319.15989600914
2020-11-01,321617.3837337064
2020-12-01,296500.35858759406
2021-01-01,333187.7264563282
2021-02-01,369741.50916322356
2021-03-01,296706.54183199746
2021-04-01,267661.8213205701
2021-05-01,331412.3404803953
2021-06-01,368389.529366424
2021-07-01,298711.91344201984
2021-08-01,268530.3064142453
2021-09-01,341513.4481153687
2021-10-01,399848.0968781903
2021-11-01,283523.3707970614
2021-12-01,302862.3015121517
2022-01-01,337783.13781253074
2022-02-01,367124.56934511603
2022-03-01,314982.39469090186
2022-04-01,294554.2741979349
2022-05-01,317060.47978626186
2022-06-01,373068.6711964799
2022-07-01,331879.9969259225
2022-08-01,297545.8888564667
2022-09-01,308949.40911599516
2022-10-01,385292.1901253174
2022-11-01,359257.56757123995
2022-12-01,278693.00889057515
2023-01-01,326937.2282256244
2023-02-01,383181.144119253
