Month,Quantity
2017-07-01,7119512.861650922
2017-08-01,8016351.001674542
2017-09-01,7041225.958549773
2017-10-01,6371427.747235747
2017-11-01,8796146.50918108
2017-12-01,5157039.984439751
2018-01-01,6220271.074127094
2018-02-01,4979853.477203778
2018-03-01,7166471.504001042
2018-04-01,8566852.9949159
2018-05-01,8555633.509534935
2018-06-01,6092333.107361204
2018-07-01,4755497.835869748
2018-08-01,6222734.024788394
2018-09-01,7204113.886020628
2018-10-01,8557189.15857655
2018-11-01,7053779.544285012
2018-12-01,5895881.647737694
2019-01-01,5130291.1376216905
2019-02-01,6809585.109405291
2019-03-01,7611289.342214757
2019-04-01,8448165.637078729
2019-05-01,6920872.016822307
2019-06-01,6690554.147466245
2019-07-01,6249852.436259385
2019-08-01,7113577.624251957
2019-09-01,8547121.530516105
2019-10-01,7840011.123623259
2019-11-01,8581878.207417717
2019-12-01,7725335.052424104
2020-01-01,8078926.911643614
2020-02-01,7981123.8130956525
2020-03-01,9729963.47086405
2020-04-01,10474880.931275064
2020-05-01,10114900.792700818
2020-06-01,9007219.711311039
2020-07-01,8152422.775793183
2020-08-01,8742059.547688264
2020-09-01,10537389.24604777
2020-10-01,11804395.248696182
2020-11-01,10888402.488102779
2020-12-01,9700295.695483511
2021-01-01,8965992.999401383
2021-02-01,10304959.820573125
2021-03-01,11452233.036301134
2021-04-01,12679887.960073754
2021-05-01,11048790.911512367
2021-06-01,10067616.949178727
2021-07-01,10084779.222083235
2021-08-01,10956439.354418397
2021-09-01,12390746.064537091
2021-10-01,12386667.389734672
2021-11-01,11900341.29762495
2021-12-01,10700632.363994911
2022-01-01,10712624.7500868
2022-02-01,11045020.825850863
2022-03-01,11857515.071009357
2022-04-01,12241373.895068858
2022-05-01,11865530.001876408
2022-06-01,10877428.506509827
