Month,Quantity
2017-07-01,272418.37953448546
2017-08-01,266847.9049942264
2017-09-01,225841.23568379175
2017-10-01,168041.25111892246
2017-11-01,322177.63350257627
2017-12-01,480579.7979069723
2018-01-01,308881.1710590496
2018-02-01,474183.4607695235
2018-03-01,419966.32717803464
2018-04-01,355432.4894909336
2018-05-01,381307.12830408715
2018-06-01,305784.0519443288
2018-07-01,282330.73324593314
2018-08-01,260945.20508748433
2018-09-01,255572.8092725004
2018-10-01,198519.40512355842
2018-11-01,321329.7910084512
2018-12-01,406053.704325322
2019-01-01,293934.3404819752
2019-02-01,449796.77960402245
2019-03-01,350059.0016298572
2019-04-01,281826.1305779524
2019-05-01,332085.08455792116
2019-06-01,279953.86907293374
2019-07-01,268368.25047139806
2019-08-01,275410.3193724783
2019-09-01,272256.67402045673
2019-10-01,212536.22850228637
2019-11-01,311294.1902871565
2019-12-01,346755.55624873633
2020-01-01,270205.7024381749
2020-02-01,415974.06090223795
2020-03-01,304210.4959211536
2020-04-01,251274.13106860506
2020-05-01,304895.6441604167
2020-06-01,252775.63978168217
2020-07-01,254812.557299181
2020-08-01,282786.1948722862
2020-09-01,275474.3732380329
2020-10-01,218845.68951266975
2020-11-01,298960.81908570346
2020-12-01,299697.2294161515
2021-01-01,246060.26765514765
2021-02-01,378760.83179412363
2021-03-01,272381.6235500973
2021-04-01,237154.66121154715
2021-05-01,288533.70948892354
2021-06-01,230112.95689126052
2021-07-01,240968.86029933798
2021-08-01,280293.3589430722
2021-09-01,267013.5205672723
2021-10-01,220694.01788481843
2021-11-01,287621.64408042195
2021-12-01,263242.8763208243
2022-01-01,225344.5994561606
2022-02-01,342835.95527921943
2022-03-01,246483.40240829007
2022-04-01,229501.44039489742
2022-05-01,277398.9051548086
2022-06-01,212124.17181260622
