Month,Quantity
2017-07-01,45514452.34524661
2017-08-01,46759969.45181619
2017-09-01,63331593.94520099
2017-10-01,46106339.57491858
2017-11-01,39590790.800656155
2017-12-01,39061519.450494245
2018-01-01,28729896.67822003
2018-02-01,22901372.491606608
2018-03-01,21764939.834200706
2018-04-01,24008940.311414428
2018-05-01,20754046.282796316
2018-06-01,33020134.72165266
2018-07-01,39894107.71844384
2018-08-01,40570761.71519564
2018-09-01,77272386.07997245
2018-10-01,59165853.874923915
2018-11-01,44670008.849482216
2018-12-01,52420828.65319321
2019-01-01,37150351.63799828
2019-02-01,33484162.9018169
2019-03-01,36511291.7543529
2019-04-01,32194955.009335134
2019-05-01,35130204.34522822
2019-06-01,44823991.80245542
2019-07-01,50661901.56847104
2019-08-01,48906411.82020649
2019-09-01,67731056.7581634
2019-10-01,64353949.698182225
2019-11-01,59936811.29005118
2019-12-01,66538352.773126
2020-01-01,50515426.51822972
2020-02-01,44607117.17839849
2020-03-01,56445501.374837525
2020-04-01,43895155.856701836
2020-05-01,47619826.912573434
2020-06-01,58764498.11077511
2020-07-01,59333301.2219487
2020-08-01,66254168.41530459
2020-09-01,76133082.02868786
2020-10-01,70247504.17308505
2020-11-01,70978770.50012606
2020-12-01,80747027.97667383
2021-01-01,68956540.43753293
2021-02-01,61476779.21410057
2021-03-01,69109215.69110467
2021-04-01,62174435.532553725
2021-05-01,66536535.11215137
2021-06-01,77523491.43065967
2021-07-01,67797795.43195629
2021-08-01,80270932.01761533
2021-09-01,93986480.50548562
2021-10-01,86924416.83758105
2021-11-01,86670748.28760156
2021-12-01,93161098.7889662
2022-01-01,83349195.736062
2022-02-01,89032732.58827597
2022-03-01,89166444.00110784
2022-04-01,80951821.41347349
2022-05-01,83279305.06505783
2022-06-01,99720486.36001049
