Month,Quantity
2017-07-01,2633177.6531565743
2017-08-01,2422935.715120939
2017-09-01,2186769.5925231273
2017-10-01,1134526.6790412797
2017-11-01,1049193.0438047224
2017-12-01,1422815.2774451643
2018-01-01,1285837.4034995362
2018-02-01,344602.30887132074
2018-03-01,215006.2379236553
2018-04-01,545244.8165300587
2018-05-01,897519.1306286368
2018-06-01,965324.365754848
2018-07-01,2504923.2720462712
2018-08-01,2780917.766049005
2018-09-01,2412390.4698098763
2018-10-01,1176754.1850813301
2018-11-01,1017642.0428816312
2018-12-01,1633626.3441678965
2019-01-01,1307201.031610556
2019-02-01,392601.4874254718
2019-03-01,270424.00796052936
2019-04-01,538470.9999261531
2019-05-01,781832.2624955818
2019-06-01,1022295.8487335012
2019-07-01,2276686.789479317
2019-08-01,3342295.8286460894
2019-09-01,2556689.208154106
2019-10-01,1254511.212184334
2019-11-01,1018053.8531212568
2019-12-01,1794104.1195177883
2020-01-01,1296169.482843081
2020-02-01,462682.94368323556
2020-03-01,324998.1521287052
2020-04-01,551493.1217093306
2020-05-01,713102.5704049376
2020-06-01,1013500.0894432851
2020-07-01,2159742.714677805
2020-08-01,3802739.935225417
2020-09-01,2792638.595561731
2020-10-01,1314753.2964404752
2020-11-01,1086885.3799367596
2020-12-01,1839045.4670251734
2021-01-01,1324706.400680883
2021-02-01,529094.247627536
2021-03-01,393852.04415590776
2021-04-01,566525.237578563
2021-05-01,687293.1258310346
2021-06-01,950523.5602159327
2021-07-01,2126733.2724078097
2021-08-01,4106087.33399638
2021-09-01,3098322.1551684635
2021-10-01,1384285.2604388543
2021-11-01,1196286.731955988
2021-12-01,1832356.0668930092
2022-01-01,1361879.9922866167
2022-02-01,595190.966573621
2022-03-01,472580.2582316514
2022-04-01,596731.3644395499
2022-05-01,675199.1375249518
2022-06-01,884751.9867366488
