Month,Quantity
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,151345
2013-08,278757
2013-09,342140
2013-10,468759
2013-11,712153
2013-12,733930
2014-01,496021
2014-02,347650
2014-03,554990
2014-04,403650
2014-05,117900
2014-06,198995
2014-07,176000
2014-08,84450
2014-09,146390
2014-10,191500
2014-11,363500
2014-12,421140
2015-01,295999
2015-02,199465
2015-03,226300
2015-04,306610
2015-05,385860
2015-06,134110
2015-07,209765
2015-08,219955
2015-09,158998
2015-10,279200
2015-11,398100
2015-12,414850
2016-01,292380
2016-02,285710
2016-03,296240
2016-04,364455
2016-05,272225
2016-06,254620
2016-07,262750
2016-08,223527
2016-09,128200
2016-10,155450
2016-11,173290
2016-12,309460
2017-01,483060
2017-02,383015
2017-03,375515
2017-04,449255
2017-05,373125
2017-06,211125
2017-07,167347
2017-08,316830
2017-09,343750
2017-10,228280
2017-11,785070
2017-12,568395
2018-01,0
2018-02,393275
2018-03,275089
2018-04,416775
2018-05,423315
2018-06,396145
2018-07,282600
2018-08,464065
2018-09,254050
2018-10,180572
2018-11,293000
2018-12,322075
